C1= C2= C3= C4= 
[1234.99, 682.995][1277.99, 638.996][1350.99, 802.995][1410.99, 754.995]
[1235.1, 683.056][1279.14, 639.052][1351.11, 803.065][1410.6, 759.72]
[1235.11, 683.062][1279.14, 639.058][1347.82, 801.604][1410.8, 759.858]
[1235.13, 683.071][1279.45, 639.066][1348.52, 801.752][1410.01, 761.141]
[1235.15, 683.349][1279.92, 639.075][1348.16, 802.118][1409.8, 761.682]
[1235.16, 683.292][1280, 639.083][1348.42, 802.625][1409.9, 761.054]
[1235.17, 683.982][1279.33, 639.09][1348.13, 802.512][1409.74, 760.105]
[1235.18, 683.545][1280.26, 639.095][1347.9, 802.426][1409.61, 760.103]
[1235.19, 683.444][1280.03, 639.098][1347.97, 802.116][1409.51, 759.618]
[1235.19, 683.364][1282.03, 639.588][1347.77, 801.627][1409.19, 757.77]
[1234.7, 682.308][1281.15, 638.493][1346.63, 800.244][1407.94, 757.533]
[1234.3, 679.701][1280.95, 635.6][1346.46, 797.125][1406.43, 755.332]
[1234.49, 672.26][1279.5, 629.209][1347.35, 790.555][1406.76, 747.964]
[1236.2, 662.967][1281.19, 620.493][1348.58, 781.44][1408.07, 738.471]
[1238.61, 651.147][1282.54, 610.441][1352.19, 770.55][1410.43, 726.755]
[1242.1, 639.715][1286.53, 598.01][1355.57, 756.661][1412.56, 713.013]
[1245.9, 623.358][1288.3, 582.194][1358.2, 738.638][1414.76, 693.771]
[1251.01, 606.36][1291.83, 565.075][1358.07, 717.374][1417.54, 675.873]
[1258.23, 586.692][1298.63, 546.391][1364.46, 696.275][1422.96, 654.973]
[1269.22, 566.504][1310.14, 526.687][1375.1, 674.734][1431.22, 634.124]
[1282.69, 545.149][1324.02, 505.978][1385.02, 651.245][1443.39, 611.721]
[1298.55, 523.945][1339.94, 485.815][1400.89, 630.336][1458.82, 590.002]
[1315.62, 502.737][1355.41, 465.123][1417.46, 607.75][1476.16, 567.6]
[1333.68, 483.311][1373.06, 443.883][1436.25, 585.905][1495.28, 546.443]
[1351.74, 462.559][1392.48, 423.084][1452.99, 564.153][1514.75, 525.214]
[1371, 444.978][1412.8, 406.011][1471.52, 545.555][1535.4, 507.566]
[1392.31, 431.761][1434.12, 392.906][1492.85, 532.135][1558.64, 495.15]
[1413.46, 421.798][1454.44, 383.852][1511.26, 521.228][1581.84, 486.393]
[1432.57, 417.866][1473.75, 375.911][1531.89, 515.786][1600.9, 479]
[1448.6, 412.845][1489.11, 366.949][1549.13, 508.804][1617.7, 471.87]
[1458.92, 406.385][1500.29, 360.76][1561.78, 503.907][1630, 466.017]
[1464.69, 405.245][1508.96, 360.68][1566.35, 503.196][1636.76, 467.045]
[1467.67, 411.135][1512.52, 367.683][1569.5, 510.558][1640.2, 474.364]
[1470.52, 424.019][1516.93, 381.441][1571.66, 523.787][1643.68, 488.379]
[1475.07, 439.696][1523.24, 397.524][1575.7, 539.198][1648.71, 503.831]
[1479.94, 452.533][1528.34, 412.071][1580.18, 553.531][1653.92, 518.177]
[1486.82, 466.342][1535.65, 425.25][1586.79, 566.292][1659.66, 530.933]
[1494.5, 479.417][1543.93, 437.279][1597.61, 579.129][1666.16, 542.364]
[1500.61, 488.535][1549.64, 446.697][1605.6, 589.748][1671.35, 552.441]
[1505.55, 496.501][1553.15, 454.061][1607.82, 595.828][1675.29, 559.768]
[1508.34, 501.311][1555.64, 460.356][1610.45, 601.142][1677.58, 564.371]
[1510.54, 506.136][1557.32, 464.66][1611.98, 605.265][1679.11, 567.936]
[1513.09, 508.473][1558.91, 468.261][1615.97, 609.573][1680.33, 572.644]
[1516.29, 511.631][1563.3, 471.838][1618.89, 612.881][1683.32, 575.424]
[1519.62, 514.889][1565.05, 474.301][1623.41, 616.538][1687.07, 578.67]
[1523.52, 518.759][1567.72, 476.711][1627.95, 619.329][1690.74, 580.304]
[1527.2, 520.553][1571.56, 478.768][1633.23, 621.969][1695.36, 583.444]
[1530.95, 522.177][1575.16, 480.318][1640.45, 624.532][1700.4, 585.84]
[1535.15, 523.354][1579.25, 481.439][1643.14, 625.881][1707.28, 588.456]
[1539.82, 523.928][1584.95, 483.364][1644.95, 626.868][1714.02, 591.819]
[1543.69, 524.859][1590.18, 485.343][1649.66, 629.234][1720.04, 595.186]
[1546.96, 528.591][1593.11, 487.368][1651.91, 630.445][1724.96, 595.765]
[1550.88, 530.573][1597.87, 489.42][1655.02, 632.426][1729.56, 600.316]
[1554.41, 531.737][1602.61, 492.032][1659.61, 636.104][1733.87, 603.453]
[1558.29, 533.966][1606.59, 495.101][1664.87, 640][1737.77, 607.193]
[1561, 536.722][1608.8, 497.942][1666.96, 643.2][1741.58, 610.255]
[1562.93, 538.808][1610.33, 500.645][1671.48, 646.738][1744.33, 613.398]
[1564.6, 542.808][1611.97, 502.599][1672.08, 648.77][1744.37, 613.432]
[1567.36, 545.266][1614.41, 505.139][1675.38, 651.644][1747.51, 616.428]
[1571.47, 550.405][1617.72, 508.67][1679.91, 654.866][1750.49, 617.513]
[1576.06, 554.544][1623.08, 511.844][1686.76, 658.628][1755.03, 621.573]
[1579.5, 558.249][1627.11, 514.247][1691.1, 661.205][1758.97, 624.383]
[1582.37, 559.544][1629.05, 514.827][1695.48, 662.463][1761.94, 624.993]
[1584.43, 561.015][1630.66, 515.197][1698.13, 662.796][1764.05, 625.105]
[1586.39, 561.211][1631.99, 515.388][1696.07, 661.835][1766.04, 625.092]
[1588.8, 562.361][1635.59, 515.995][1700.36, 662.655][1769.02, 626.372]
[1591.02, 561.468][1638.72, 516.368][1701.79, 662.632][1771.1, 626.707]
[1594.23, 559.845][1640.41, 515.184][1706.89, 661.973][1774.19, 625.21]
[1597.62, 554.307][1643.74, 512.507][1709.78, 658.583][1777.48, 622.007]
[1601.72, 552.177][1646.4, 508.412][1712.36, 653.654][1780.38, 617.503]
[1605.84, 547.409][1651.64, 504.633][1717.8, 649.786][1783.83, 613.407]
[1609.96, 543.12][1656.9, 500.555][1722.09, 645.082][1788.26, 609.364]
[1613.44, 539.789][1660.16, 496.83][1723.75, 640.319][1791.15, 604.274]
[1617.04, 536.663][1662.47, 492.566][1727.32, 635.538][1793.17, 598.405]
[1619.1, 529.532][1663.53, 486.779][1729.07, 628.525][1794.3, 589.995]
[1621.09, 522.92][1665.31, 480.656][1730.54, 621.183][1795.84, 583.242]
[1621.91, 516.442][1668.47, 475.95][1730.96, 615.264][1796.33, 578.066]
[1622.61, 511.238][1671.27, 471.277][1732.18, 610.23][1797.33, 573.335]
[1622.76, 505.858][1670.82, 467.141][1733.3, 605.827][1798.29, 569.168]
