C1= C2= C3= C4= 
[865, 581]   [938, 635]   [1021, 425]   [1062, 509]
         [865.008, 581.005]   [937.928, 634.885]   [1021.09, 424.924]   [1062.17, 508.844]
         [865.011, 580.931]   [937.858, 634.662]   [1021.32, 424.622]   [1063.39, 507.168]
         [865.012, 580.938]   [938.088, 634.039]   [1021.95, 424.001]   [1063.94, 506.657]
         [865.287, 580.673]   [938.219, 633.319]   [1022.67, 423.284]   [1066.2, 503.623]
         [865.573, 580.395]   [938.514, 632.574]   [1023.43, 422.543]   [1068.87, 500.466]
         [866.958, 578.837]   [939.177, 632.184]   [1024, 421.793]   [1071.57, 497.27]
         [868.228, 577.406]   [939.781, 631.665]   [1022.34, 422.316]   [1073.96, 494.256]
         [869.343, 576.148]   [939.69, 631.219]   [1022.08, 421.973]   [1076.02, 491.85]
         [870.307, 575.06]   [939.82, 630.622]   [1022.92, 421.248]   [1077.8, 489.572]
         [871.812, 573.448]   [940.154, 629.883]   [1023.44, 420.173]   [1077.98, 489.848]
         [873.082, 571.857]   [940.666, 628.8]   [1025.72, 417.873]   [1080.39, 486.223]
         [873.881, 570.316]   [941.564, 627.432]   [1025.75, 416.423]   [1082.36, 483.476]
         [874.984, 567.636]   [942.538, 626.323]   [1025.75, 415.254]   [1081.51, 484.908]
         [876.104, 566.441]   [942.353, 625.435]   [1027.93, 413.347]   [1080.25, 486.667]
         [876.977, 565.279]   [944.143, 624.744]   [1026.74, 413.302]   [1079.89, 487.695]
         [877.684, 564.838]   [944.125, 624.435]   [1028.99, 411.79]   [1079.82, 488.315]
         [878.001, 564.749]   [944.099, 624.446]   [1028.31, 412.069]   [1082.29, 485.552]
         [875.63, 566.812]   [944.302, 623.989]   [1028.75, 411.851]   [1084.27, 482.555]
         [873.38, 567.774]   [942.626, 624.161]   [1026.21, 412.751]   [1084.82, 480.39]
         [870.231, 569.393]   [939.682, 625.92]   [1024.4, 413.549]   [1079.95, 485.02]
         [870.042, 569.21]   [939.523, 625.725]   [1024.31, 413.235]   [1080.21, 484.513]
         [865.165, 575.326]   [932.623, 633.247]   [1020.68, 417.989]   [1078.11, 486.837]
         [861.417, 580.24]   [928.895, 639.538]   [1018.84, 421.529]   [1077.51, 488.797]
         [858.656, 584.775]   [925.904, 644.432]   [1017.65, 424.583]   [1072.99, 496.382]
         [855.755, 589.28]   [923.673, 649.204]   [1014.81, 428.543]   [1069.62, 502.604]
         [853.435, 593.867]   [922.136, 653.697]   [1013.02, 432.502]   [1064.46, 511.751]
         [851.726, 598.592]   [921.807, 657.039]   [1011.95, 435.991]   [1066.53, 511.127]
         [850.425, 601.886]   [920.848, 660.278]   [1011.49, 439.003]   [1067.58, 511.369]
         [849.69, 604.052]   [919.58, 663.161]   [1009, 442.095]   [1068.56, 511.221]
         [848.585, 606.305]   [918.82, 665.473]   [1007.51, 444.575]   [1068.84, 511.616]
         [846.084, 608.095]   [916.074, 667.551]   [1002.13, 447.86]   [1064.28, 517.365]
         [842.901, 609.416]   [912.44, 669.596]   [999.164, 449.378]   [1059.68, 521.366]
         [839.542, 610.506]   [908.966, 671.278]   [995.224, 451.133]   [1058.45, 519.832]
         [836.322, 611.846]   [906.162, 672.586]   [994.084, 451.234]   [1053.39, 523.879]
         [833.89, 612.73]   [903.809, 673.422]   [992.061, 451.891]   [1052.48, 522.379]
         [832.021, 613.341]   [901.486, 673.468]   [991.032, 451.813]   [1052.09, 520.287]
         [830.296, 614.038]   [899.649, 673.435]   [991.291, 451.172]   [1047.91, 523.985]
         [829.154, 614.382]   [898.155, 673.442]   [991.709, 450.474]   [1047.85, 523.428]
         [828.317, 614.589]   [897.553, 673.115]   [990.299, 450.892]   [1048.9, 520.583]
         [827.717, 613.65]   [897.406, 672.264]   [988.952, 451.183]   [1049.3, 518.482]
         [827.389, 613.292]   [897.443, 671.461]   [987.99, 450.803]   [1046.35, 521.658]
         [827.508, 612.14]   [897.592, 670.215]   [988.356, 449.39]   [1044.33, 523.377]
         [827.173, 611.812]   [897.559, 669.259]   [985.832, 449.895]   [1045.7, 520.089]
         [827.479, 610.818]   [897.556, 668.317]   [985.949, 449.075]   [1043.86, 522.097]
         [827.117, 610.195]   [897.47, 668.019]   [986.502, 448.337]   [1044.18, 520.397]
         [826.345, 610.208]   [897.964, 667.767]   [983.303, 449.312]   [1041.32, 522.971]
         [826.061, 609.669]   [897.899, 667.282]   [984.214, 448.499]   [1042.24, 520.301]
         [826.148, 609.991]   [897.12, 667.653]   [984.486, 448.86]   [1043.04, 519.432]
         [826.507, 611.013]   [896.517, 668.973]   [984.739, 450.172]   [1044.74, 517.947]
         [826.822, 612.621]   [897.346, 670.566]   [985.748, 451.235]   [1041.47, 523.494]
         [827.17, 613.856]   [897.328, 671.794]   [987.691, 451.514]   [1043.08, 522.219]
         [827.431, 614.374]   [898.609, 672.305]   [987.693, 452.295]   [1044.91, 520.39]
         [827.75, 614.151]   [898.425, 672.081]   [988.56, 451.777]   [1043.33, 523.32]
         [829.337, 612.636]   [900.645, 670.308]   [988.233, 451.332]   [1042.63, 524.848]
         [831.691, 609.548]   [901.936, 668.333]   [987.676, 450.459]   [1045.2, 521.103]
         [834.104, 606.808]   [903.498, 665.428]   [988.873, 448.657]   [1045.25, 521.175]
         [836.766, 603.635]   [905.749, 662.378]   [991.104, 446.722]   [1046.32, 519.946]
         [839.498, 600.478]   [908.654, 659.326]   [992.153, 445.128]   [1046.15, 520.243]
         [841.574, 598.849]   [909.864, 657.515]   [993.997, 443.896]   [1049.11, 516.37]
         [843.276, 596.995]   [911.116, 655.513]   [994.726, 442.373]   [1048.43, 517.345]
         [843.354, 595.22]   [912.66, 653.355]   [994.536, 440.862]   [1050.74, 512.92]
         [841.969, 594.758]   [911.691, 652.327]   [995.362, 438.454]   [1049.18, 513.596]
         [840.871, 593.519]   [910.672, 650.881]   [996.593, 435.632]   [1048.44, 512.535]
         [839.897, 591.902]   [910.285, 649.374]   [995.418, 433.765]   [1047.3, 512.292]
         [838.829, 590.73]   [908.382, 648.555]   [994.711, 432.389]   [1050.03, 506.718]
         [838.738, 589.831]   [907.369, 648.71]   [992.342, 432.355]   [1049.63, 506.406]
         [839.426, 588.386]   [907.062, 648.367]   [990.433, 432.626]   [1051.35, 504.148]
         [839.978, 587.763]   [907.324, 648.379]   [990.942, 432.108]   [1051.72, 504.145]
         [840.915, 587.617]   [907.531, 648.215]   [992.392, 431.77]   [1054.03, 501.163]
         [842.664, 585.793]   [909.729, 646.363]   [993.308, 430.54]   [1055.86, 498.846]
         [843.287, 580.597]   [909.966, 641.133]   [992.776, 426.819]   [1055.78, 493.769]
         [844.269, 573.206]   [911.654, 632.952]   [992.849, 420.602]   [1052.66, 490.765]
         [846.162, 562.233]   [913.351, 620.549]   [995.239, 410.122]   [1052.67, 478.813]
         [847.548, 549.642]   [915.375, 606.81]   [994.825, 399.107]   [1051.09, 467.949]
         [847.361, 536.911]   [914.686, 593.167]   [991.439, 388.887]   [1049.32, 456.083]
         [842.575, 522.825]   [911.298, 576.741]   [987.054, 375.385]   [1043.67, 440.141]
         [833.945, 509.466]   [900.949, 563.103]   [976.804, 363.668]   [1032.4, 427.83]
         [824.196, 495.567]   [888.791, 549.013]   [966.066, 351.547]   [1020.86, 413.209]
         [807.654, 469.711]   [869.426, 524.197]   [944.459, 331.356]   [997.327, 393.318]
         [795.669, 446.346]   [858.431, 502.099]   [935.533, 310.092]   [985.398, 371.695]
         [790.945, 429.356]   [853.546, 484.749]   [931.513, 290.678]   [979.548, 355.031]
         [787.899, 417.606]   [851.121, 470.969]   [930.028, 276.214]   [978.662, 340.248]
         [786.262, 408.782]   [848.702, 461.981]   [929.394, 266.457]   [977.076, 330.915]
         [785.722, 411.516]   [846.997, 465.644]   [926.259, 268.813]   [977.266, 332.952]
         [783.183, 416.229]   [847.812, 468.343]   [925.077, 272.919]   [978.148, 333.529]
         [776.339, 423.509]   [839.224, 476.039]   [919.138, 279.811]   [972.524, 338.667]
         [769.359, 431.986]   [832.864, 482.708]   [912.469, 287.609]   [964.999, 347.528]
         [762.885, 438.531]   [825.059, 489.78]   [906.221, 294.381]   [958.509, 352.943]
         [758.629, 445.557]   [818.479, 498.958]   [900.031, 303.657]   [951.453, 362.708]
         [752.348, 461.699]   [813.693, 512.365]   [894.823, 318.244]   [943.801, 377.982]
         [751.749, 484.003]   [810.702, 534.917]   [891.503, 342.921]   [942.711, 397.245]
         [757.146, 509.633]   [814.797, 561.783]   [892.583, 372.622]   [943.98, 426.671]
         [771.136, 539.831]   [828.865, 592.873]   [902.678, 406.535]   [953.146, 456.454]
         [781.153, 556.289]   [838.536, 608.442]   [909.37, 425.224]   [959.939, 475.585]
         [801.326, 576.209]   [857.802, 627.603]   [927.103, 447.612]   [975.994, 499.636]
         [828.625, 595.989]   [885.507, 645.83]   [952.541, 468.893]   [1000.34, 521.497]
