C1= C2= C3= C4= 
[1491, 537][1568, 473][1730, 760][1821, 682]
[1492.68, 535.327][1564.65, 473.001][1737.53, 761.675][1822.68, 683.674]
[1494.73, 536.593][1569.56, 474.895][1738.71, 762.304][1823.78, 685.251]
[1496.93, 539.188][1572.87, 476.336][1739.87, 762.9][1825.96, 685.867]
[1498.74, 539.443][1571.46, 475.363][1741.98, 763.231][1827.76, 685.619]
[1500.45, 540.147][1573.23, 475.804][1743.36, 763.984][1830.28, 686.264]
[1501.69, 540.91][1571.67, 475.093][1745.38, 765.037][1833.62, 688.779]
[1502.62, 541.232][1573.02, 475.567][1746.65, 765.832][1836.14, 690.933]
[1503.34, 541.735][1576.87, 476.951][1747.39, 766.45][1838.11, 693.115]
[1503.9, 543.415][1575.03, 475.993][1748.99, 767.193][1839.39, 694.581]
[1504.33, 544.22][1573.29, 475.747][1749.72, 768.555][1840.38, 695.721]
[1503.61, 544.057][1576.13, 478.726][1750.82, 770.424][1841.15, 697.405]
[1504.1, 547.152][1573.55, 479.487][1751.68, 772.176][1840.93, 698.462]
[1504.47, 549.309][1573.68, 481.709][1752.6, 774.078][1841.81, 701.44]
[1505.33, 551.032][1574.89, 484.044][1752.5, 776.714][1841.95, 702.425]
[1505.97, 552.306][1575.56, 485.815][1754.05, 778.698][1843.12, 705.065]
[1505.89, 553.546][1579.18, 488.86][1753.25, 780.204][1843.72, 707.929]
[1505.83, 555.077][1576.3, 488.951][1754.9, 781.941][1844.19, 709.588]
[1505.75, 557.329][1576.33, 490.078][1756.71, 783.763][1844.49, 711.044]
[1505.67, 557.589][1574.61, 489.757][1756.07, 784.544][1844.69, 711.822]
[1505.6, 557.441][1574.72, 490.031][1754.96, 784.503][1844.53, 711.197]
[1506.11, 557.856][1573.65, 489.055][1753.21, 783.845][1844.96, 710.369]
[1506.5, 557.842][1570.81, 487.686][1755.01, 783.857][1845.26, 709.386]
[1506.78, 557.787][1570.65, 486.6][1756.96, 784.109][1846.04, 708.581]
[1507.57, 558.001][1570.82, 485.743][1758.45, 783.404][1847.21, 707.928]
[1509.32, 557.834][1574.44, 486.796][1760.43, 783.392][1848.65, 708.542]
[1510.65, 556.228][1575.8, 485.867][1762.5, 783.348][1849.73, 707.546]
[1512.8, 556.404][1576.84, 485.137][1764.92, 782.708][1851.11, 707.33]
[1515.66, 558.003][1579.99, 484.565][1766.82, 782.207][1853.65, 707.746]
[1518.34, 555.979][1582.95, 484.118][1769.9, 782.064][1856.08, 706.57]
[1522.11, 556.148][1587.81, 484.356][1772.21, 781.068][1859.35, 706.815]
[1525.5, 555.682][1590.91, 483.961][1775.63, 780.288][1862.95, 706.991]
[1529.78, 554.158][1593.81, 483.369][1777.62, 779.392][1865.08, 704.805]
[1534.16, 554.132][1597.71, 482.626][1782.83, 778.41][1869.24, 704.558]
[1537.98, 553.821][1601.47, 482.062][1786.72, 777.08][1873.49, 704.083]
[1541.99, 552.716][1604.87, 481.634][1788.76, 776.06][1877.55, 703.718]
[1544.97, 551.865][1610.28, 483.045][1791.1, 775.861][1879.42, 701.998]
[1547.11, 551.505][1614.88, 484.719][1792.47, 776.303][1880.43, 701.548]
[1548.65, 551.812][1617.17, 486.011][1794.58, 777.231][1880.53, 701.213]
[1549.7, 553.501][1616.77, 486.424][1796.94, 778.535][1882.5, 703.564]
[1550.41, 554.522][1617.5, 486.735][1798.97, 779.546][1883.94, 704.526]
[1551.39, 556.176][1620.52, 488.117][1800.4, 780.325][1885.51, 706.137]
[1551.47, 555.42][1618.69, 488.014][1802.54, 783.522][1886.91, 706.798]
[1551.99, 559.169][1620.64, 489.075][1805.25, 785.98][1887.89, 707.299]
[1551.71, 557.989][1619.41, 488.716][1806.33, 787.846][1888.82, 708.539]
[1551.4, 558.215][1621.26, 489.579][1807.05, 788.961][1889.15, 709.482]
[1551.05, 558.655][1618.81, 489.643][1806.6, 790.345][1888.42, 709.892]
[1551.29, 563.018][1617.13, 490.25][1805.85, 791.366][1887.78, 711.629]
[1550.25, 562.607][1617.5, 492.434][1803.75, 790.957][1886.93, 713.236]
[1548.81, 563.113][1615.42, 492.937][1802.62, 792.034][1886.2, 714.728]
[1547.66, 563.19][1612.62, 493.303][1800.25, 792.543][1885.59, 715.274]
[1547.88, 566.683][1613.59, 494.711][1798.07, 792.892][1885.07, 716.522]
[1546.28, 565.009][1611.72, 494.615][1796.94, 792.835][1883.18, 715.715]
[1545.59, 564.825][1613.72, 496.239][1797.48, 793.899][1883.13, 716.781]
[1545.04, 565.228][1615.53, 498.034][1797.29, 794.391][1883.07, 718.143]
[1544.6, 565.216][1613.43, 497.641][1797.71, 796.167][1882.71, 718.86]
[1544.25, 567.78][1616.69, 500.191][1798.59, 797.505][1882.42, 719.38]
[1543.97, 566.85][1613.7, 499.821][1796.94, 796.192][1881.02, 718.305]
[1543.75, 566.085][1611.37, 499.476][1794.49, 795.41][1880.79, 719.16]
[1543, 565.761][1612.44, 500.333][1795.78, 797.378][1879.75, 719.215]
[1542.41, 567.219][1612.4, 500.955][1794.16, 796.549][1879.81, 719.51]
[1541.95, 567.215][1613.56, 502.66][1792.29, 796.213][1879.56, 721.247]
[1540.73, 566.832][1610.9, 502.654][1791.48, 796.442][1876.44, 716.608]
[1540.68, 567.692][1608.86, 503.21][1791.15, 796.894][1877.27, 719.456]
[1541.23, 571.238][1607.88, 503.597][1791.21, 797.216][1877.05, 720.173]
[1541.66, 571.33][1606.56, 503.862][1790.97, 797.443][1877.77, 721.286]
[1543.16, 573.961][1609.62, 505.759][1791.39, 797.877][1878.9, 723.267]
[1543.73, 573.347][1611.41, 506.892][1791.73, 798.188][1879.78, 724.471]
[1544.17, 573.984][1610.48, 506.28][1792.86, 798.404][1880.46, 725.649]
[1544.5, 574.153][1611.78, 506.924][1794.31, 798.55][1881.27, 727.099]
[1545.33, 574.245][1613.65, 507.959][1793.13, 798.641][1879.86, 725.293]
[1545.95, 574.28][1613.06, 506.991][1792.5, 798.689][1878.2, 724.147]
[1546.43, 573.706][1615.19, 507.947][1792.6, 799.002][1876.91, 723.238]
[1546.77, 572.939][1614.51, 507.202][1793.83, 798.931][1877.37, 722.22]
[1547.61, 572.903][1615.99, 507.466][1792.47, 798.283][1879.18, 723.735]
[1548.23, 573.143][1617.12, 507.641][1794.31, 797.475][1880.01, 724.31]
[1548.7, 571.863][1617.97, 507.751][1794.58, 796.552][1881.22, 724.738]
[1549.65, 573.499][1615.69, 506.074][1796.25, 795.533][1881, 721.548]
[1549.16, 570.34][1615.65, 504.154][1796.06, 793.874][1880.52, 719.652]
[1549.92, 568.786][1615.89, 502.679][1796.18, 793.196][1882.75, 720.823]
[1549.91, 566.724][1621.29, 504.446][1796.85, 792.683][1884.46, 721.146]
[1550.45, 565.732][1622.81, 504.071][1796.48, 791.728][1884.02, 719.081]
[1551.48, 565.527][1621.08, 502.01][1797.66, 791.847][1885.45, 719.51]
[1552.79, 567.185][1620.24, 500.439][1800.29, 791.115][1885.9, 717.525]
[1553.78, 567.301][1618.7, 499.239][1802.29, 791.146][1885.35, 714.838]
[1554.5, 566.533][1618.07, 498.929][1802.91, 791.197][1883.16, 711.074]
[1555.6, 567.978][1617.58, 498.707][1803.64, 791.249][1886.09, 712.843]
[1556.41, 567.075][1621.24, 500.289][1803.6, 791.881][1888.92, 715.976]
[1558.17, 568.694][1622.03, 500.947][1806.99, 793.824][1891.65, 717.549]
[1560.06, 570.814][1626.08, 503.197][1811.02, 796.484][1895.45, 721.662]
[1563.2, 573.886][1630.03, 506.087][1815.51, 800.259][1898.91, 722.231]
[1564.19, 574.312][1631.02, 506.405][1816.85, 800.783][1900.1, 722.516]
[1565.19, 574.743][1632.02, 506.727][1818.2, 801.313][1901.31, 722.805]
[1566.23, 575.193][1633.07, 507.063][1819.61, 801.867][1902.57, 723.107]
[1567.23, 575.622][1634.07, 507.384][1820.96, 802.395][1903.77, 723.395]
