C1= C2= C3= C4= 
[761, 489]   [809, 536]   [857, 409]   [887, 434]
         [761, 493.686]   [800.566, 536]   [851.377, 409]   [886.063, 441.497]
         [761.001, 493.337]   [805.376, 536.001]   [853.735, 409.001]   [886.032, 438.696]
         [761.002, 492.066]   [804.478, 536.001]   [853.459, 408.239]   [886.021, 439.19]
         [761.002, 490.061]   [801.359, 536.99]   [853.97, 407.168]   [886.674, 439.456]
         [761.003, 488.783]   [800.295, 536.696]   [852.139, 406.485]   [887.398, 435.929]
         [761.304, 489.401]   [801.663, 535.29]   [850.271, 406.013]   [887.599, 435.592]
         [761.221, 489.848]   [802.65, 534.577]   [849.225, 405.673]   [887.744, 435.051]
         [761.462, 489.574]   [801.562, 534.961]   [850.879, 405.728]   [887.848, 433.146]
         [761.64, 487.839]   [801.675, 534.635]   [850.272, 405.464]   [887.924, 431.124]
         [761.15, 488.73]   [803.001, 533.777]   [849.204, 405.273]   [887.357, 430.263]
         [759.84, 489.397]   [803.987, 532.511]   [847.154, 406.079]   [886.304, 429.001]
         [758.232, 490.532]   [803.754, 534.775]   [845.645, 405.721]   [884.247, 429.686]
         [756.079, 491.048]   [801.958, 536.456]   [844.221, 405.458]   [883.38, 433.447]
         [755.5, 491.094]   [802.595, 537.684]   [844.187, 405.595]   [882.762, 433.612]
         [755.099, 488.83]   [803.387, 537.261]   [843.206, 405.371]   [882, 433.733]
         [756.144, 485.541]   [801.991, 537.929]   [842.19, 404.882]   [881.136, 434.15]
         [757.909, 481.511]   [800.645, 537.416]   [842.463, 404.531]   [880.525, 433.794]
         [756.219, 483.9]   [800.663, 537.036]   [844.341, 404.279]   [880.096, 433.533]
         [754.671, 485.337]   [799.357, 536.087]   [846.059, 403.109]   [879.812, 434.34]
         [753.899, 486.064]   [797.423, 534.732]   [843.32, 401.604]   [879.627, 433.593]
         [753.339, 484.246]   [798.701, 531.388]   [846.024, 399.163]   [879.162, 431.03]
         [753.306, 481.942]   [798.31, 527.978]   [847.327, 396.759]   [879.196, 431.203]
         [751.964, 481.318]   [797.709, 524.886]   [847.258, 394.061]   [879.246, 427.311]
         [753.036, 477.551]   [796.625, 522.378]   [847.204, 391.837]   [879.303, 424.539]
         [751.821, 475.544]   [795.527, 520.956]   [843.486, 390.952]   [879.025, 422.576]
         [749.279, 476.465]   [794.076, 521.303]   [840.13, 391.35]   [878.499, 423.192]
         [746.134, 480.198]   [794.398, 520.277]   [830.695, 397.393]   [875.457, 421.677]
         [743.901, 482.924]   [793.986, 521.598]   [828.959, 397.765]   [873.954, 421.293]
         [742.972, 484.239]   [793.359, 523.256]   [829.079, 398.716]   [872.2, 422.044]
         [741.031, 487.217]   [793.282, 524.847]   [827.927, 399.755]   [870.652, 423.321]
         [740.353, 489.36]   [789.87, 525.68]   [827.493, 400.508]   [868.559, 430.013]
         [739.256, 489.192]   [790.486, 525.626]   [826.583, 401.387]   [867.782, 431.132]
         [742.549, 484.618]   [790.245, 530.724]   [831.041, 402.034]   [868.913, 428.873]
         [743.672, 487.1]   [792.201, 531.312]   [836.071, 403.155]   [869.168, 429.955]
         [746.873, 486.839]   [794.298, 533.076]   [839.01, 405.302]   [871.415, 432.42]
         [753.299, 491.768]   [797.19, 538.45]   [841.146, 408.224]   [875.785, 433.527]
         [761.622, 494.922]   [804.352, 542.91]   [846.726, 410.597]   [882.67, 434.619]
         [771.574, 496.795]   [814.169, 545.359]   [854.732, 411.91]   [891.622, 433.685]
         [780.018, 496.423]   [819.833, 546.735]   [861.794, 411.473]   [899.706, 432.66]
         [784.65, 491.725]   [822.144, 546.312]   [865.119, 410.442]   [903.766, 433.93]
         [786.447, 491.674]   [823.665, 546.256]   [867.365, 409.653]   [905.528, 432.132]
         [784.945, 491.963]   [824.685, 543.478]   [866.885, 409.736]   [903.683, 432.173]
         [781.688, 494.174]   [823.619, 542.765]   [862.713, 410.441]   [900.21, 432.867]
         [777.217, 496.433]   [817.032, 544.92]   [858.948, 411.606]   [895.603, 437.751]
         [771.188, 498.359]   [812.195, 544.402]   [852.783, 413.084]   [890.519, 440.231]
         [766.117, 500.731]   [806.309, 547.033]   [847.63, 414.8]   [886.148, 439.966]
         [762.768, 500.376]   [801.37, 549.913]   [844.578, 417.358]   [881.291, 441.765]
         [756.644, 503.777]   [797.163, 551.586]   [838.35, 421.172]   [876.464, 445.374]
         [752.944, 505.493]   [796.206, 552.388]   [837.961, 423.85]   [873.04, 446.565]
         [749.66, 511.038]   [794.897, 555.596]   [836.054, 427.052]   [871.308, 449.38]
         [747.339, 514.982]   [793.322, 557.522]   [836.066, 429.301]   [868.766, 458.76]
         [747.086, 515.377]   [793.254, 557.826]   [834.118, 432.512]   [868.354, 460.049]
         [746.633, 513.895]   [793.256, 559.323]   [836.461, 433.735]   [868.46, 460.542]
         [748.04, 511.75]   [792.62, 559.682]   [838.531, 434.552]   [868.924, 461.835]
         [749.125, 509.448]   [794.241, 558.51]   [837.37, 434.358]   [869.33, 461.639]
         [750.294, 510.768]   [794.442, 558.949]   [836.901, 434.128]   [870.353, 463.42]
         [750.131, 514.453]   [793.571, 559.266]   [836.561, 433.953]   [871.445, 464.715]
         [751.423, 516.396]   [796.062, 558.75]   [836.692, 433.743]   [872.628, 466.24]
         [754.119, 517.374]   [799.28, 560.379]   [838.893, 434.193]   [874.901, 465.5]
         [757.875, 518.116]   [799.197, 562.656]   [845.099, 433.837]   [877.639, 469.907]
         [764.322, 517.358]   [803.294, 562.332]   [849.118, 432.69]   [883.733, 470.608]
         [771.209, 515.057]   [811.285, 560.684]   [859.082, 430.129]   [890.383, 465.198]
         [779.45, 508.986]   [819.985, 558.13]   [868.151, 426.595]   [897.105, 464.358]
         [789.332, 508.339]   [828.856, 556.278]   [875.915, 424.055]   [907.598, 461.353]
         [801.069, 507.873]   [841.904, 555.609]   [887.471, 422.904]   [919.448, 459.836]
         [815.676, 511.245]   [857.134, 559.159]   [900.264, 425.797]   [933.815, 461.076]
         [830.301, 516.011]   [870.2, 564.381]   [913.59, 430.232]   [948.613, 467.656]
         [844.674, 520.438]   [882.783, 569.466]   [928.378, 435.439]   [962.447, 470.025]
         [855.996, 523.576]   [893.841, 574.407]   [935.989, 444.516]   [974.398, 474.016]
         [863.345, 527.432]   [902.363, 577.777]   [943.099, 448.044]   [982.225, 476.639]
         [869.738, 532.887]   [909.324, 581.713]   [950.099, 451.768]   [989.146, 480.583]
         [874.168, 538.485]   [917.457, 584.54]   [956.844, 455.424]   [995.559, 483.242]
         [877.873, 544.226]   [922.829, 587.45]   [962.074, 458.882]   [1001.34, 485.34]
         [880.274, 548.688]   [927.677, 589.859]   [965.622, 462.258]   [1005.36, 489.938]
         [880.422, 552.745]   [930.26, 590.846]   [965.991, 464.501]   [1006.52, 490.124]
         [875.167, 557.084]   [928.221, 590.563]   [962.855, 464.995]   [1001.94, 492.442]
         [876.749, 560.079]   [931.652, 591.468]   [965.299, 466.265]   [1003.96, 492.85]
         [878.011, 562.48]   [933.448, 593.347]   [966.9, 468.011]   [1005.55, 493.608]
         [879.368, 564.558]   [937.003, 593.94]   [968.301, 469.587]   [1006.71, 492.965]
         [880.22, 565.728]   [937.975, 595.153]   [969.382, 470.9]   [1007.32, 496.406]
         [881.121, 566.741]   [938.662, 596.046]   [968.782, 473.523]   [1007.99, 498.702]
         [883.741, 568.261]   [942.788, 596.758]   [971.599, 474.947]   [1010.4, 498.397]
         [887.911, 569.685]   [947.837, 597.638]   [975.911, 475.865]   [1014.12, 498.427]
         [894.949, 570.677]   [951.892, 600.896]   [981.577, 478.169]   [1020.54, 502.724]
         [902.88, 571.478]   [956.781, 605.158]   [989.883, 481.62]   [1028.46, 508.116]
         [911.29, 571.406]   [962.628, 609.272]   [994.763, 486.038]   [1035.55, 512.104]
         [918.326, 575.043]   [969.114, 612.984]   [1001.25, 489.473]   [1042.28, 514.433]
         [923.94, 580.013]   [977.652, 615.16]   [1009.25, 491.952]   [1048.43, 517.804]
         [931.072, 583.399]   [981.609, 619.136]   [1016.26, 494.566]   [1054.93, 521.177]
         [936.411, 584.692]   [986.76, 622.043]   [1023.69, 496.865]   [1060.02, 523.843]
         [941.189, 585.977]   [989.462, 623.816]   [1027.69, 497.865]   [1064.04, 524.313]
         [944.179, 585.543]   [989.473, 624.575]   [1031.13, 497.744]   [1066.18, 527.042]
         [945.392, 584.59]   [990.301, 624.781]   [1033.47, 497.292]   [1067.81, 525.074]
         [946.031, 583.484]   [989.142, 624.041]   [1034.46, 495.8]   [1068.52, 525.471]
         [947.995, 581.985]   [989.35, 623.887]   [1035.44, 495.276]   [1070.28, 524.181]
         [948.711, 581.159]   [992.025, 622.076]   [1035.86, 494.21]   [1070.59, 520.687]
         [950.533, 578.136]   [994.17, 620.825]   [1037.44, 492.797]   [1070.78, 515.731]
         [951.158, 576.809]   [996.158, 619.31]   [1037.1, 491.948]   [1071.17, 513.652]
         [952.23, 575.731]   [996.577, 617.818]   [1038.16, 490.739]   [1071.33, 511.741]
         [953.482, 571.659]   [997.07, 616.359]   [1040.14, 489.261]   [1071.37, 509.965]
         [954.879, 570.821]   [999.091, 615.655]   [1041.14, 487.565]   [1071.8, 507.308]
         [955.606, 571.369]   [1000.32, 614.097]   [1042.78, 486.672]   [1072.72, 505.861]
         [955.738, 570.089]   [1000.9, 612.784]   [1043.89, 485.911]   [1073.06, 504.733]
         [955.743, 569.789]   [1002.24, 611.23]   [1043.22, 484.803]   [1072.77, 503.593]
         [955.774, 569.543]   [1002.38, 610.448]   [1043.92, 484.387]   [1073.04, 502.408]
         [956.036, 569.597]   [1002, 610.061]   [1043.49, 484.538]   [1073.05, 502.233]
         [956.632, 568.912]   [1001.59, 609.995]   [1044.02, 484.66]   [1072.96, 502.604]
         [955.829, 570.562]   [999.236, 609.699]   [1042.41, 485.739]   [1073.81, 506.106]
         [955.186, 571.931]   [997.301, 609.452]   [1040.36, 486.635]   [1074.54, 508.76]
         [954.519, 573.057]   [994.835, 609.256]   [1039.54, 487.364]   [1075.02, 511.204]
         [953.923, 573.733]   [995.319, 609.097]   [1039.34, 487.966]   [1075.12, 509.638]
         [953.53, 575.028]   [993.8, 608.982]   [1038.51, 488.426]   [1075.28, 511.416]
         [953.183, 574.52]   [994.362, 608.889]   [1038.33, 488.8]   [1075.65, 512.092]
         [952.444, 572.513]   [994.673, 608.072]   [1037.49, 489.035]   [1075.44, 513.323]
         [953.153, 570.903]   [994.939, 610.742]   [1037.09, 489.744]   [1076.32, 514.836]
         [954.499, 572.689]   [996.184, 611.377]   [1037.01, 490.839]   [1077.29, 515.811]
         [955.619, 574.446]   [998.016, 613.234]   [1038, 491.752]   [1077.83, 515.562]
         [956.569, 575.282]   [998.524, 613.098]   [1038.66, 492.378]   [1079.06, 517.585]
         [958.325, 573.591]   [1001.51, 613.026]   [1040.12, 492.98]   [1080.27, 516.401]
         [959.908, 574.637]   [1000.54, 617.352]   [1042.06, 492.297]   [1081.65, 514.768]
         [961.925, 573.794]   [1003.3, 616.301]   [1043.62, 491.647]   [1082.42, 513.129]
         [963.989, 573.134]   [1006.21, 615.47]   [1047.96, 491.134]   [1083.52, 512.375]
         [968.034, 575.023]   [1012.01, 615.917]   [1051.18, 492.361]   [1085.67, 510.948]
         [975.188, 578.538]   [1017.59, 618.478]   [1057.37, 494.476]   [1092.91, 513.081]
         [983.706, 582.529]   [1026.5, 622.233]   [1065.67, 496.741]   [1102.39, 516.259]
         [991.513, 588.826]   [1034.91, 628.341]   [1074.19, 500.606]   [1110.45, 518.972]
         [995.219, 596.38]   [1040.98, 637.38]   [1081.18, 506.558]   [1116.54, 522.957]
         [995.347, 605.002]   [1042.71, 646.096]   [1083.36, 513.118]   [1119.9, 530.673]
         [989.405, 611.334]   [1039.4, 653.581]   [1080.96, 517.809]   [1118.72, 538.471]
