C1= C2= C3= C4= 
[1667, 307][1728, 259][1791, 418][1876, 374]
[1657.92, 314.263][1719.45, 265.225][1782.45, 423.213][1861.79, 378.691]
[1649.14, 317.723][1710.86, 269.446][1774.25, 425.906][1853.39, 383.868]
[1642.13, 317.878][1702.37, 271.256][1766.58, 426.617][1848.16, 386.802]
[1636.62, 316.869][1695.67, 270.999][1759.56, 424.838][1840.7, 384.741]
[1631.23, 315.13][1689.46, 267.43][1752.86, 420.474][1832.4, 379.923]
[1625.75, 310.809][1684.88, 263.79][1746.92, 416.248][1825.27, 375.111]
[1620.05, 306.252][1678.38, 261.51][1737.61, 412.017][1817.82, 371.685]
[1612.6, 305.214][1672.31, 260.236][1731.37, 409.725][1808.5, 369.77]
[1604.2, 304.913][1663.48, 260.254][1721.13, 408.944][1797.1, 369.54]
[1594.99, 306.241][1652.89, 262.863][1710.46, 410.93][1785.26, 371.96]
[1584.11, 312.819][1640.4, 268.094][1699.24, 415.159][1771.8, 376.528]
[1571.91, 318.574][1627.46, 275.424][1686.25, 420.652][1757.07, 383.077]
[1559.7, 327.689][1614.93, 283.901][1669.67, 427.154][1743.15, 391.483]
[1547.5, 336.221][1602.23, 294.368][1652.67, 433.906][1729.65, 401.362]
[1535.41, 345.879][1590.03, 305.813][1635.76, 441.915][1716.04, 412.084]
[1526.78, 362.188][1578.85, 317.97][1625.35, 453.646][1703.24, 423.692]
[1516.13, 371.753][1567.87, 329.007][1613.08, 463.843][1691.32, 433.756]
[1506.77, 379.543][1557.46, 339.063][1604.23, 473.865][1680.22, 443.075]
[1498.71, 385.936][1549.44, 347.771][1595.8, 482.036][1670.6, 450.386]
[1493.59, 392.392][1543.53, 354.599][1591.58, 489.055][1664.61, 456.713]
[1492.57, 397.676][1544.48, 359.857][1592.46, 493.949][1662.15, 461.331]
[1493.84, 399.802][1544.46, 361.655][1595.25, 496.641][1663.23, 463.51]
[1494.54, 398.665][1544.17, 361.947][1594.6, 497.094][1664.4, 464.69]
[1493.66, 398.386][1542.56, 362.468][1592.44, 497.203][1662.55, 464.214]
[1490.14, 397.648][1539.06, 362.605][1587.96, 496.485][1658.62, 463.884]
[1486.8, 398.312][1534.62, 362.78][1583.06, 495.743][1653.88, 463.719]
[1483.05, 399.777][1530.6, 362.413][1578.14, 494.414][1648.82, 461.97]
[1478.57, 401.558][1526.21, 362.176][1574.18, 493.409][1642.72, 460.637]
[1473.94, 402.839][1520.25, 361.582][1569.46, 492.303][1636.68, 457.811]
[1469.46, 405.107][1514.77, 360.958][1566.7, 491.322][1630.89, 456.946]
[1464.38, 402.414][1509.8, 360.969][1559.19, 489.912][1624.55, 455.919]
[1460.34, 401.538][1506.48, 361.035][1555.65, 489.24][1619.65, 456.122]
[1457.42, 402.801][1502.38, 361.287][1552.56, 488.082][1615.82, 455.636]
[1455.17, 402.482][1500.99, 361.35][1550.5, 487.106][1611.8, 453.724]
[1453.44, 400.955][1499.09, 361.275][1546.07, 486.284][1609.65, 453.908]
[1452.29, 399.7][1499.27, 362.292][1543.15, 486.763][1608.24, 454.293]
[1454.53, 403.261][1499.94, 364.138][1542.61, 487.085][1609.17, 455.689]
[1458.75, 403.34][1503.26, 364.034][1549.07, 487.29][1614.19, 456.428]
[1464.5, 399.569][1507.75, 361.269][1555.73, 485.099][1618.01, 451.753]
[1471.94, 397.469][1513.94, 356.759][1564.47, 481.634][1622.82, 446.06]
[1479.58, 392.294][1520.94, 350.878][1572.57, 476.328][1629.12, 439.337]
[1487.8, 385.983][1530.15, 344.896][1582.04, 470.814][1637.25, 433.616]
[1499.62, 384.579][1539.3, 339.134][1591.38, 465.43][1647.91, 428.951]
[1507.84, 379.771][1549.23, 334.151][1602.01, 461.333][1657.88, 424.847]
[1514.63, 377.265][1557.37, 330.676][1605.79, 456.541][1665.8, 421.214]
[1519.18, 375.09][1562.41, 329.788][1609.48, 455.799][1670.98, 419.936]
[1520.83, 374.621][1563.29, 331.484][1610.76, 457.622][1673.73, 421.351]
[1520.27, 376.607][1562.73, 334.581][1609.94, 461.402][1674.04, 425.685]
[1517.96, 381.366][1562.73, 339.34][1608.03, 466.412][1673, 431.131]
[1514.9, 386.221][1559.73, 344.196][1605, 471.757][1670.65, 436.241]
[1511.29, 390.251][1555.88, 348.228][1602.31, 475.309][1666.74, 440.476]
[1507.3, 390.486][1552.86, 349.896][1596.75, 475.752][1662.53, 442.305]
[1503.03, 388.923][1547.33, 348.865][1591.56, 473.781][1657.52, 441.116]
[1499.39, 386.538][1542.7, 345.738][1588.94, 469.919][1652.72, 438.156]
[1496.3, 382.956][1540.01, 341.57][1586.1, 464.645][1648.2, 432.972]
[1493.36, 379.057][1535.95, 336.646][1585.09, 460.034][1643.02, 425.834]
[1491.12, 372.621][1531.41, 331.715][1580.03, 453.637][1639.36, 419.492]
[1488.85, 367.128][1528.54, 326.811][1576.47, 447.623][1634.89, 413.52]
[1487.43, 364.675][1525.81, 321.939][1574.63, 442.204][1631.8, 407.846]
[1486.1, 361.135][1524.34, 318.251][1574.14, 437.831][1629.79, 402.989]
