C1= C2= C3= C4= 
[1173, 356][1228, 313][1302, 487][1368, 435]
[1173.14, 356.502][1227.89, 313.377][1301.83, 487.317][1367.95, 435.689]
[1173.13, 357.591][1227.57, 314.703][1300.94, 488.083][1367.85, 436.876]
[1173.42, 356.467][1227.01, 313.869][1300.78, 487.178][1367.26, 434.797]
[1174.09, 352.561][1227.72, 309.715][1301.89, 483.685][1368.3, 431.001]
[1174.3, 347.258][1227.58, 304.587][1302.33, 479.178][1368.25, 425.597]
[1174.05, 343.917][1227.45, 301.399][1301.4, 475.658][1367.33, 421.949]
[1172.44, 342.476][1226.41, 300.551][1300.14, 475.221][1365.62, 420.48]
[1169.68, 344.2][1224.12, 302.284][1296.95, 476.574][1362.3, 422.9]
[1165.46, 347.093][1220.78, 305.184][1292.14, 479.164][1357.62, 426.854]
[1162.05, 349.956][1220.86, 310.564][1285.24, 480.018][1353.85, 430.072]
[1160.32, 353.573][1219.11, 313.903][1284.02, 484.07][1352.34, 433.72]
[1161.11, 358.548][1219.32, 317.585][1285.78, 488.877][1352.27, 436.874]
[1163.88, 362.483][1221.64, 321.02][1289.34, 494.275][1354.9, 440.425]
[1168.24, 367.938][1224.29, 324.74][1294.59, 499.011][1359.96, 445.581]
[1173.3, 371.114][1230.96, 328.71][1301.16, 503.237][1365.3, 449.334]
[1179.95, 374.059][1236.97, 332.28][1307.9, 507.003][1372.72, 453.818]
[1188.96, 378.782][1245.48, 337.221][1317.81, 512.639][1382.89, 459.201]
[1202.9, 386.789][1257.62, 344.568][1332.46, 521.102][1397.74, 466.905]
[1220.08, 397.698][1274.25, 354.407][1350.45, 531.5][1415.9, 477.838]
[1240.26, 410.719][1293.72, 367.152][1372.66, 545.522][1438.24, 492.281]
[1262.27, 426.425][1316.59, 382.373][1394.25, 561.146][1463.03, 510.48]
[1284.01, 443.1][1338.45, 399.523][1419.3, 581.391][1486.9, 529.068]
[1303.67, 460.365][1359.61, 416.882][1439.24, 600.548][1509.55, 549.455]
[1321.58, 475.895][1379.24, 433.608][1459.88, 620.338][1530.6, 568.238]
[1338.89, 492.598][1395.07, 448.437][1482.08, 638.063][1551.42, 584.895]
[1355.73, 505.981][1412.45, 461.773][1499.01, 652.472][1572.6, 597.915]
