C1= C2= C3= C4= 
[615, 499]   [656, 541]   [704, 415]   [740, 449]
         [612.419, 501.59]   [655.489, 541.005]   [703.489, 415.004]   [739.489, 450.038]
         [611.914, 503.528]   [658.176, 541.006]   [700.101, 415.719]   [739.318, 451.457]
         [611.371, 504.521]   [657.564, 541.007]   [701.492, 415.518]   [739.231, 451.332]
         [611.525, 504.894]   [657.676, 540.517]   [701.375, 415.393]   [739.668, 452.482]
         [612.75, 504.706]   [658.872, 539.731]   [698.61, 417.32]   [740.419, 452.609]
         [613.659, 504.778]   [659.127, 539.781]   [698.459, 417.271]   [741.188, 452.915]
         [614.161, 504.835]   [659.735, 540.025]   [700.185, 416.824]   [742.195, 451.924]
         [614.766, 502.859]   [660.222, 540.22]   [701.163, 416.87]   [743.003, 451.736]
         [615.058, 503.463]   [660.62, 540.582]   [700.954, 417.311]   [744.066, 451.785]
         [616.922, 503.965]   [662.166, 540.069]   [701.187, 417.676]   [745.35, 451.622]
         [618.269, 504.999]   [663.863, 540.051]   [701.789, 417.979]   [746.417, 451.897]
         [618.561, 505.866]   [665.906, 540.036]   [703.75, 417.815]   [747.93, 451.711]
         [619.006, 506.589]   [667.184, 540.024]   [704.334, 418.097]   [749.186, 451.556]
         [619.157, 506.764]   [668.243, 540.014]   [706.101, 417.904]   [750.229, 450.998]
         [618.844, 507.56]   [668.907, 540.006]   [704.753, 419.263]   [751.097, 450.312]
         [618.57, 508.22]   [669.222, 540.22]   [704.052, 419.957]   [751.142, 450.844]
         [618.329, 507.864]   [670.123, 539.953]   [706.134, 419.408]   [751.596, 450.623]
         [618.121, 508.234]   [669.95, 540.406]   [706.051, 419.396]   [752.179, 449.992]
         [618.17, 508.304]   [670.235, 540.327]   [707.554, 418.927]   [751.959, 450.834]
         [618.889, 508.354]   [669.77, 540.262]   [705.366, 419.904]   [751.762, 450.848]
         [619.016, 507.929]   [669.368, 540.207]   [705.154, 419.329]   [750.665, 452.006]
         [618.425, 507.343]   [667.184, 539.702]   [704.514, 418.852]   [749.752, 453.419]
         [619.089, 505.931]   [666.765, 538.824]   [703.059, 418.687]   [749.454, 452.266]
         [619.393, 504.31]   [669.655, 535.332]   [704.643, 416.466]   [749.432, 451.315]
         [619.175, 503.214]   [670.629, 533.4]   [706.873, 414.645]   [749.179, 450.069]
         [618.988, 500.694]   [672.809, 528.575]   [703.799, 413.394]   [748.034, 447.653]
         [616.961, 498.173]   [671.073, 526.748]   [703.846, 410.745]   [746.626, 444.745]
         [615.534, 496.835]   [667.058, 527.87]   [701.543, 409.534]   [745.008, 443.321]
         [614.841, 496.001]   [665.643, 526.947]   [698.96, 409.271]   [743.692, 443.117]
         [615.221, 495.346]   [666.601, 525.755]   [700.382, 407.906]   [743.801, 442.503]
         [616.009, 491.794]   [666.916, 524.354]   [700.383, 406.354]   [743.906, 441.093]
         [615.717, 490.567]   [668.113, 522.301]   [697.337, 406.521]   [744, 439.962]
         [614.073, 490.31]   [666.973, 522.076]   [697.686, 405.276]   [743.383, 438.833]
         [612.038, 491.088]   [665.572, 522.414]   [696.583, 404.768]   [742.659, 438.89]
         [610.389, 490.812]   [663.727, 521.076]   [694.758, 404.378]   [740.434, 438.49]
         [609.055, 490.377]   [661.05, 521.893]   [694.695, 403.143]   [738.159, 438.422]
         [607.992, 490.294]   [660.057, 520.719]   [693.259, 403.11]   [737.269, 437.927]
         [607.616, 490.488]   [659.264, 520.497]   [690.223, 404.524]   [736.565, 438.017]
         [607.335, 489.262]   [658.403, 520.351]   [691.546, 403.819]   [736.019, 438.353]
         [606.423, 489.941]   [657.959, 520.266]   [692.421, 403.741]   [735.602, 437.943]
         [605.243, 489.822]   [656.216, 519.766]   [692.46, 402.765]   [733.886, 437.874]
         [602.646, 489.032]   [657.164, 516.075]   [687.791, 402.925]   [732.03, 435.473]
         [601.521, 486.547]   [656.327, 513.363]   [685.449, 400.505]   [730.102, 433.557]
         [599.227, 486.191]   [654.727, 512.364]   [686.39, 398.321]   [728.563, 432.961]
         [598.415, 485.588]   [654.184, 511.449]   [685.703, 397.651]   [727.741, 432.339]
         [597.995, 486.672]   [653.181, 512.627]   [683.89, 398.949]   [728.063, 432.357]
         [598.199, 487.974]   [653.232, 514.519]   [684.936, 399.877]   [728.278, 434.207]
         [597.62, 488.971]   [651.009, 516.984]   [684.735, 400.847]   [728.212, 433.843]
         [597.187, 490.488]   [652.754, 516.435]   [682.867, 402.592]   [727.682, 436.283]
         [596.144, 490.239]   [652.937, 516.501]   [683.112, 403.007]   [727.771, 435.795]
         [595.813, 487.895]   [652.858, 516.567]   [684.045, 402.389]   [727.382, 436.131]
         [595.802, 488.626]   [650.193, 518.53]   [683.387, 402.847]   [727.323, 435.22]
         [596.063, 489.232]   [650.19, 518.714]   [684.538, 402.28]   [727.302, 434.732]
         [595.841, 488.558]   [650.691, 517.932]   [685.735, 401.36]   [727.553, 433.88]
         [596.385, 488.723]   [649.465, 518.716]   [687.193, 400.147]   [727.773, 433.432]
         [600.156, 486.272]   [651.081, 518.658]   [685.801, 401.528]   [728.68, 437.091]
         [600.893, 487.121]   [653.37, 518.384]   [688.455, 401.254]   [729.914, 437.019]
         [601.976, 487.828]   [653.598, 519.583]   [690.158, 401.04]   [731.407, 436.492]
         [603.81, 489.362]   [655.211, 521.513]   [693.91, 402.292]   [733.106, 437.483]
         [605.302, 491.797]   [657.943, 522.611]   [693.418, 404.734]   [735.198, 438.999]
         [607.685, 494.716]   [660.867, 524.439]   [694.181, 407.189]   [737.365, 441.405]
         [612.681, 493.565]   [664.423, 526.395]   [694.797, 411.07]   [741.244, 443.128]
         [617.203, 497.085]   [668.948, 528.917]   [700.225, 413.278]   [745.564, 446.872]
         [622.03, 500.412]   [673.076, 531.657]   [703.219, 417.169]   [750.702, 449.432]
         [627.346, 501.696]   [679.708, 534.108]   [709.168, 419.142]   [756.746, 451.733]
         [633.745, 504.836]   [685.3, 536.545]   [714.451, 421.182]   [762.564, 453.103]
         [638.613, 504.989]   [690.926, 538.238]   [720.314, 422.781]   [767.431, 455.341]
         [643.462, 507.679]   [694.982, 540.531]   [725.751, 424.052]   [772.283, 457.842]
         [648.265, 510.542]   [701.969, 541.176]   [731.044, 425.512]   [777.797, 458.893]
         [653.915, 512.812]   [708.689, 542.107]   [738.517, 426.634]   [783.557, 459.683]
         [659.589, 515.086]   [713.819, 543.763]   [742.385, 429.385]   [789.085, 461.693]
         [665.492, 517.117]   [718.567, 546.003]   [750.114, 430.161]   [794.399, 464.22]
         [670.643, 519.188]   [722.537, 548.25]   [757.227, 430.739]   [800.246, 465.286]
         [674.929, 520.579]   [726.333, 550.26]   [760.524, 432.097]   [805.101, 466.097]
         [679.462, 521.656]   [729.998, 551.845]   [764.716, 432.212]   [809.862, 466.001]
         [682.705, 522.213]   [731.837, 553.288]   [768.619, 432.235]   [813.522, 465.144]
         [685.515, 522.638]   [734.916, 554.438]   [773.382, 431.759]   [816.436, 465.598]
         [687.144, 523.149]   [736.778, 554.829]   [775.891, 431.314]   [818.381, 465.913]
         [688.317, 523.509]   [736.969, 555.795]   [775.884, 432.088]   [818.863, 467.542]
         [688.604, 524.438]   [737.413, 556.033]   [777.556, 432.432]   [819.056, 468.34]
         [688.925, 524.668]   [736.928, 556.402]   [776.64, 433.142]   [819.061, 470.826]
         [689.548, 525.285]   [737.611, 555.953]   [777.661, 433.455]   [818.955, 470.931]
         [690.156, 524.794]   [737.572, 556.71]   [778.116, 433.907]   [819.441, 471.2]
         [689.596, 525.763]   [739.087, 556.104]   [778.603, 433.77]   [819.018, 472.084]
         [688.995, 526.495]   [736.89, 556.495]   [779.079, 434.086]   [819.002, 472.511]
         [688.654, 527.527]   [737.608, 557.721]   [780.08, 434.318]   [819.609, 472.352]
         [688.249, 528.073]   [736.9, 558.662]   [781.218, 434.465]   [819.738, 472.873]
         [688.089, 528.956]   [736.496, 559.164]   [782.069, 434.563]   [819.775, 473.268]
         [690.7, 526.107]   [737.033, 559.532]   [782.192, 434.616]   [819.719, 473.553]
         [690.162, 527.273]   [737.399, 559.791]   [782.43, 434.633]   [819.592, 473.749]
         [689.644, 527.016]   [735.983, 559.964]   [782.533, 434.622]   [819.413, 473.638]
         [688.914, 527.011]   [736.179, 559.597]   [780.41, 435.061]   [819.197, 473.043]
         [688.237, 526.498]   [736.031, 558.782]   [776.932, 435.862]   [818.466, 472.755]
         [687.158, 526.291]   [735.156, 558.09]   [775.687, 435.551]   [818.051, 471.082]
         [686.464, 525.628]   [734.396, 557.5]   [773.678, 435.277]   [817.66, 469.696]
         [686.08, 525.063]   [733.963, 556.521]   [774.112, 434.558]   [816.577, 468.312]
