C1= C2= C3= C4= 
[1205, 441][1248, 401][1321, 562][1372, 513]
[1206.27, 442.898][1249.27, 401.003][1319.75, 562.004][1372.01, 511.109]
[1208.21, 442.123][1254.08, 400.184][1321.08, 561.186][1373.65, 509.837]
[1211.04, 440.481][1257.6, 399.163][1324.27, 558.881][1376.98, 507.963]
[1213.28, 438.393][1259.41, 397.443][1326.72, 556.957][1380.07, 505.459]
[1215.3, 435.96][1263.2, 395.772][1328.63, 555.149][1382.67, 503.775]
[1217.75, 434.94][1264.71, 394.564][1331.49, 553.841][1385.04, 502.063]
[1220.08, 433.686][1266.33, 393.167][1334.13, 552.369][1387.31, 500.286]
[1222.85, 432.474][1270.25, 391.603][1337.15, 550.747][1389.56, 499.152]
[1225.51, 430.552][1273.8, 389.647][1340.48, 549.474][1391.31, 498.263]
[1229.08, 433.203][1275.87, 387.859][1341.88, 547.982][1393.19, 495.605]
[1230.91, 431.101][1276.76, 386.447][1343.97, 546.805][1395.16, 493.253]
[1231.84, 428.928][1278.7, 385.333][1345.87, 546.38][1396.71, 492.397]
[1233.06, 427.723][1279.45, 384.469][1347.61, 545.552][1398.94, 491.995]
[1234.52, 426.779][1281.82, 383.798][1348.95, 544.908][1400.68, 490.663]
[1235.66, 425.516][1283.43, 382.755][1349.49, 543.883][1403.1, 491.182]
[1237.05, 424.536][1283.87, 381.951][1351.72, 543.091][1403.65, 491.619]
[1238.36, 423.533][1285.23, 380.824][1352.36, 542.499][1404.29, 489.6]
[1239.35, 423.306][1284.92, 379.965][1352.82, 542.057][1404.49, 489.107]
[1239.81, 422.352][1283.82, 379.593][1354.47, 541.737][1404.87, 487.945]
[1240.14, 422.435][1286.17, 379.594][1353.85, 541.774][1405.67, 489.48]
[1240.35, 421.718][1285.54, 379.355][1355.2, 541.557][1405.72, 487.464]
[1240.48, 421.447][1287.19, 378.916][1356.51, 541.132][1406.54, 488.074]
[1240.01, 420.715][1287.35, 377.508][1356.13, 539.458][1405.25, 485.853]
[1239.6, 418.277][1287.17, 375.091][1353.87, 536.014][1404.74, 482.801]
[1239.27, 417.755][1287, 371.86][1354.01, 532.798][1404.34, 479.076]
[1238.98, 415.198][1285.48, 369.386][1351.63, 529.791][1404.54, 475.947]
[1239.39, 414.459][1285.87, 368.444][1351.93, 528.808][1404.94, 474.896]
[1239.8, 413.725][1286.27, 367.507][1352.22, 527.831][1405.33, 473.852]
[1239.35, 409.518][1286.79, 365.192][1351.16, 524.979][1405.06, 471.337]
[1238.8, 406.022][1286.46, 363.101][1351.24, 522.576][1404.94, 468.787]
[1238.45, 402.473][1286.26, 360.472][1351, 519.74][1404.87, 465.853]
[1239.37, 399.962][1288.46, 358.023][1352.29, 517.731][1405.41, 463.775]
[1240.05, 397.574][1289.22, 355.678][1354.66, 515.711][1406.37, 461.706]
[1240.54, 394.726][1290.32, 353.419][1355.59, 513.698][1407.08, 459.657]
[1240.91, 393.156][1293.37, 352.849][1356.28, 512.206][1407.33, 459.249]
[1240.62, 391.171][1293.21, 350.8][1356.25, 510.555][1407.78, 458.157]
[1240.39, 388.897][1291.39, 348.743][1356.2, 508.533][1408.11, 456.564]
[1240.65, 387.282][1291.85, 347.292][1356.57, 507.041][1408.49, 455.158]
[1240.27, 385.112][1289.87, 344.228][1354.64, 504.034][1408.57, 452.169]
[1240.48, 383.463][1290.17, 342.671][1354.86, 502.444][1408.93, 450.66]
[1239.35, 380.814][1288.47, 340.367][1354.68, 499.838][1408.81, 447.663]
[1239.97, 379.058][1289.72, 337.859][1354.92, 497.466][1410.06, 446.354]
[1240.39, 376.672][1289.66, 335.869][1354.78, 495.871][1410.91, 445.776]
[1240.69, 375.252][1290.78, 334.445][1355.83, 494.728][1411.51, 444.783]
[1240.91, 373.929][1290.76, 333.967][1356.61, 493.893][1411.96, 443.491]
[1241.07, 373.83][1291.01, 333.106][1357.2, 494.16][1411.72, 442.568]
[1241.26, 372.188][1291.27, 331.528][1357.49, 492.644][1412.11, 441.097]
[1241.29, 372.752][1292.35, 331.684][1356.51, 492.8][1412.32, 440.46]
[1241.32, 372.453][1293.38, 331.735][1357.11, 492.855][1412.48, 439.994]
[1241.48, 371.104][1293.73, 330.437][1357.34, 491.608][1412.83, 438.703]
[1241.65, 369.745][1294.08, 329.129][1357.57, 490.353][1413.18, 437.403]
[1241.81, 368.358][1294.44, 327.794][1357.8, 489.072][1413.54, 436.075]
[1241.98, 366.977][1294.79, 326.465][1358.03, 487.795][1413.89, 434.753]
[1243.57, 369.813][1292.57, 328.081][1357.13, 487.272][1413.12, 437.23]
[1243.82, 368.681][1292.77, 326.924][1357.29, 486.033][1413.41, 436.132]
[1247.98, 367.303][1296.48, 326.299][1362.94, 484.441][1418.2, 434.576]
[1248.46, 366.161][1296.89, 325.178][1363.43, 483.187][1418.76, 433.456]
[1248.95, 365.01][1297.31, 324.049][1363.93, 481.923][1419.33, 432.326]
[1249.45, 363.859][1297.72, 322.92][1364.43, 480.659][1419.89, 431.197]
[1249.92, 362.739][1298.12, 321.821][1364.91, 479.429][1420.44, 430.097]
[1250.4, 361.625][1298.53, 320.728][1365.39, 478.205][1420.99, 429.004]
[1250.89, 360.482][1298.94, 319.606][1365.89, 476.951][1421.55, 427.883]
[1251.37, 359.345][1299.35, 318.491][1366.38, 475.702][1422.11, 426.767]
[1251.86, 358.21][1299.76, 317.377][1366.87, 474.455][1422.66, 425.653]
[1252.35, 357.06][1300.17, 316.248][1367.37, 473.192][1423.23, 424.524]
[1252.84, 355.909][1300.59, 315.119][1367.86, 471.928][1423.79, 423.395]
[1350.02, 443.805][1396.47, 402.867][1471.64, 569.328][1523.97, 515.346]
[1371.47, 472.215][1418.57, 432.188][1494.85, 600.952][1547.43, 544.554]
[1383.23, 491.537][1433.18, 453.027][1507.83, 620.69][1559.03, 565.38]
[1391.9, 508.067][1442.22, 469.491][1517.24, 637.183][1567.63, 583.456]
[1399.13, 523.794][1449.41, 485.476][1524.39, 653.201][1573.63, 600.229]
[1404.86, 539.614][1454.25, 500.337][1529.2, 667.226][1579.05, 614.509]
[1410.1, 553.483][1459.39, 513.489][1532.35, 679.47][1583.5, 627.223]
[1414.95, 564.037][1463.05, 524.883][1536.44, 690.442][1588.3, 637.166]
[1419.53, 572.402][1465.62, 532.787][1539.32, 697.739][1592.84, 645.882]
[1423.77, 576.708][1468.59, 536.736][1543.62, 701.486][1596.49, 650.449]
[1428.01, 577.375][1472.12, 538.227][1547.9, 702.268][1600.82, 651.315]
[1431.5, 577.169][1475.63, 537.831][1550.32, 701.041][1603.82, 650.147]
